,Unnamed: 0,country,description,designation,rating,price,province,region,title,variety,winery
438,438,Spain,"Fresh, focused and tight on the nose, with an undertone of mild oak and earth, this gets going with ease. A fresh, fruity palate is just rugged enough, while flavors of black plum, cherry, licorice and herbs finish toasty, spicy and firm.",Século,89,15.0,Northern Spain,Bierzo,s de arganza 2012 século mencía bierzo,Mencía,Vinos de Arganza
439,439,Spain,"Leathery berry and savory, smoky oak aromas are a rugged introduction to a stout palate with juicy acidity. Flavors of baked plum, hard spices, salt and savory herbs finish with rubbery tannins, energy and spicy, peppery flavors.",Marqués de Montejos Selección,89,42.0,Northern Spain,Vino de la Tierra de Castilla y León,s de arganza 2013 marqués de montejos selección mencía de la tierra de castilla y león,Mencía,Vinos de Arganza
490,490,Spain,"Lime, apple and mineral aromas come with a note of eggy yeast. The mouthfeel is regular and a touch foamy, with semisweet flavors of kiwi, apple and gooseberry. Mild and feeling good on the finish, it's basic but well worth a go.",Reserva Brut,87,19.0,Catalonia,Cava,vn cellars nv reserva brut sparkling cava,Sparkling Blend,V&N; Cellars
496,496,Spain,"This barrel-fermented Verdejo is interesting, but it's also a bit low on acidity. It smells like pine and blowsy flowers. Creamy, soft and cuddly on the palate, this has flavors of baked apple, wood resin and banana. It finishes round and sweet. Drink now.",Collection Blanco,87,25.0,Northern Spain,Rueda,loess 2009 collection blanco verdejo rueda,Verdejo,Loess
500,500,Spain,"Aromas of watermelon and a dusting of natural vanilla mark the bouquet. On the palate, it's fleshy but still crisp and focused, with nectarine, red apple and strawberry flavors. The finish lasts, with some sweetness.",Rosado,87,11.0,Northern Spain,Rioja,el coto 2011 rosado rosé rioja,Rosé,El Coto
505,505,Spain,"Full and smoky, with bacon, blackberry and tire rubber on the nose. This is a bit grating in feel due to full tannins and acids, with wild berry flavors, bitter oak, black plum and darkness. Lengthy on the finish.",,87,16.0,Northern Spain,Vino de la Tierra de Castilla y León,aleo 2009 tempranillo de la tierra de castilla y león,Tempranillo,Aleo
556,556,Spain,"Welcoming aromas of wood spice, plum and blackberry become more smoky with airing. This strong-boned RDD is pure and deep, with manageable tannins. Generous flavors of spiced blackberry, tobacco and vanilla finish long, elegant and with a lot in reserve. Drink from 2017 through 2030.",Gran Resalte,93,88.0,Northern Spain,Ribera del Duero,resalte 2010 gran resalte ribera del duero,Tempranillo,Resalte
604,604,Spain,"Bright red-fruit aromas are matched by dry spice and leathery scents. The feel on this blend of Tempranillo, Cabernet Sauvignon and Merlot is juicy and clampy, while flavors of red cherry, plum and currant come with a vanilla shading. This finishes crisp, with punchy acidity.",Reserva 1423,87,35.0,Northern Spain,Navarra,príncipe de viana 2008 reserva 1423 red navarra,Red Blend,Príncipe de Viana
635,635,Spain,"Aromas of wood grain, vanilla, butter and fino Sherry are elegant and attractive for this style of white Rioja. On the palate, this oak-aged Viura is smooth, while creamy flavors of oak, apricot and peach excel. A smooth finish with plenty of vanilla and core acidity indicates this will age well for another 10 years.",Capellanía,92,28.0,Northern Spain,Rioja,marqués de murrieta 2010 capellanía viura rioja,Viura,Marqués de Murrieta
667,667,Spain,"Perfumed plum and raspberry aromas are slightly earthy and leathery. This is medium-to-full in body, with smooth, chunky tannins. Earthy, lightly baked plum and wild-berry flavors finish loamy and expansive. Drink through 2017.",Soplo,90,15.0,Levante,Valencia,rafael cambra 2012 soplo garnacha tintorera valencia,Garnacha Tintorera,Rafael Cambra
680,680,Spain,"Plum, prune and raspberry aromas are solid. This shows a bright, juicy palate along with traditional Rioja flavors of vanilla, tobacco, savory oak and dried red-berry fruits. Drink through 2018.",Selección Crianza,90,25.0,Northern Spain,Rioja,bodegas berceo 2011 selección crianza rioja,Tempranillo Blend,Bodegas Berceo
754,754,Spain,"Pulpy and also minerally on the nose, with basic white fruit aromas. Zesty, crisp and defined by slate and lime in the mouth, with apple, lime and dryness to the flavor profile. A composed little white wine for simple sipping or white sangria.",,87,10.0,Northern Spain,Rioja,el coto 2010 viura rioja,Viura,El Coto
762,762,Spain,"Round and good by Rueda standards, with melon and peach aromas but not too much citrus. The palate is full and chunky, with papaya, melon and a touch of pithy bitterness. More regular than special, but good and goes down easy before finishing dry.",Solo,87,14.0,Northern Spain,Rueda,oro de castilla 2010 solo verdejo rueda,Verdejo,Oro de Castilla
763,763,Spain,"White fruits, flower blossom and a touch of brine work the nose, which is followed by flush, semisweet apple, gooseberry and lime flavors. More sweet than outright tangy, but still citrusy and zesty. Holds form on the crisp finish. 60% Verdejo and 40% Viura.",Ipsum,87,10.0,Northern Spain,Rueda,pablo del villar 2010 ipsum verdejoviura rueda,Verdejo-Viura,Pablo del Villar
767,767,Spain,"Aromas of red licorice candy and raspberry are fruity, forward and clean. The palate is more than competent and balanced, with creamy strawberry and raspberry flavors. The finish is short but easy, and for the price that's all you can ask for.",,87,9.0,Northern Spain,Cariñena,manyana 2008 tempranillo cariñena,Tempranillo,Manyana
809,809,Spain,"Mild raisin, black cherry, anise and burnt tire aromas lead to a plump, balanced palate that's full but not overloaded. Earthy baked black-fruit flavors show a hint of oaky coconut, while this Tempranillo finishes with depth and density.",Parcela 23,90,20.0,Central Spain,Vino de la Tierra de Castilla,finca constancia 2011 parcela 23 tempranillo de la tierra de castilla,Tempranillo,Finca Constancia
820,820,Spain,"Cherry and cassis aromas are a touch flat and jammy. This shows grabby tannins as well as loamy, earthy, lightly bitter flavors of black fruits. The finish lumbers along with size and tannic grip, but overall this blend of 65% Tempranillo, 25% Graciano and 10% Garnacha shows well.",Made With Organic Grapes,86,12.0,Northern Spain,Rioja,navardia 2013 made with organic grapes rioja,Tempranillo Blend,Navardia
821,821,Spain,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",Brut,86,15.0,Catalonia,Cava,pata negra nv brut sparkling cava,Sparkling Blend,Pata Negra
836,836,Spain,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",Cinta Púrpura Brut Reserva,86,13.0,Catalonia,Cava,juvé y camps nv cinta púrpura brut reserva sparkling cava,Sparkling Blend,Juvé y Camps
837,837,Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",Sweet Reserva,86,15.0,Catalonia,Cava,juvé y camps nv sweet reserva sparkling cava,Sparkling Blend,Juvé y Camps
876,876,Spain,"Ripe and sweet, with lush, raisiny aromas. The palate is flush, deep and layered, with baked berry, prune, toast and coffee flavors. This is a lot like Vall Llach's signature '07, but it's a bit more restrained and at $50 it's a better deal than the $95 wine. Still, it's a heavyweight to drink now through 2013.",Idus,90,50.0,Catalonia,Priorat,vall llach 2007 idus red priorat,Red Blend,Vall Llach
881,881,Spain,"Ripe black fruit aromas aren't overly complex or nuanced but they are generous. Feels tight, gritty and healthy, with firm tannins in front of black cherry and blackberry flavors. Mellows on the finish, where plum and prune flavors take over. Not a hard, fierce Priorat; drink now through 2014.",Coraje,90,44.0,Catalonia,Priorat,fuentes 2008 coraje red priorat,Red Blend,Fuentes
900,900,Spain,"It has taken a few years but Morlanda has reached a nice place with this wine. Look for ripeness and concentrated black fruit aromas, and then a ripe palate with herbal blackberry and chocolate. Smooth on the finish, with a tiny bit of burn. Drink now through 2014.",Criança,90,48.0,Catalonia,Priorat,morlanda 2007 criança red priorat,Red Blend,Morlanda
938,938,Spain,"Earthy, cool aromas of wet cement, raisin and raspberry are a bit flat. This feels drawing and tannic, with flavors of tomato, red plum, currant and raspberry. A full-size finish is comfortable but not very complex.",II Crianza,87,15.0,Northern Spain,Rioja,covila 2013 ii crianza rioja,Tempranillo,Covila
941,941,Spain,"Cool aromas of cola, leather and black cherry set up a fairly full but fresh palate with moderate creamy weight. This tastes reedy and spicy, with wild-berry fruit, peppery notes and a distinct flavor of creamy oak. On the finish, this is oaky and herbal tasting.",Goru Verde,87,15.0,Levante,Jumilla,ego bodegas 2014 goru verde monastrell jumilla,Monastrell,Ego Bodegas
943,943,Spain,"Slightly gritty aromas are just barely ripe enough. This feels tight, acidic and like tomato juice. Flavors of salty berry fruits, tomato, oak and vanilla are modest but complete. Given how cool 2013 was in Rioja, this is quite good.",Crianza,87,18.0,Northern Spain,Rioja,finca del marquesado 2013 crianza rioja,Tempranillo Blend,Finca del Marquesado
952,952,Spain,"Dusty stone-fruit aromas suggest yeast and nectarine. This varietal Xarel-lo feels citrusy and spunky; flavors of melon, orange and nectarine are good but standard on the finish. Overall, this is linear and fairly basic for white wine.",XIC,87,16.0,Catalonia,Penedès,agustí torelló mata 2015 xic xarello penedès,Xarel-lo,Agustí Torelló Mata
958,958,Spain,"Crisp plum and red-bell-pepper aromas lead to a healthy, mostly fresh palate with some weight to it. A mix of citrus and red-plum flavors ends long, without much, if any, unwanted pithiness or bitterness.",Wine Wings Garnacha,87,18.0,Northern Spain,Cariñena,ignacio marín 2015 wine wings garnacha rosé cariñena,Rosé,Ignacio Marín
989,989,Spain,"Mauro will always show you a lot, but frankly this 2005 seems soft and chunky. It has rich, baked, black-fruit aromas and then a mildly syrupy palate with huge blackberry and cassis flavors. The finish is wide and rich, but where are the tannins and structure that this wine is known for? Drink now for best results; it may not improve in the cellar. A Europvin, Christopher Cannan selection, imported by multiple importers, including Michael Skurnik Wines.",,88,53.0,Northern Spain,Vino de la Tierra de Castilla y León,mauro 2005 red de la tierra de castilla y león,Tempranillo Blend,Mauro
1028,1028,Spain,"This lighter-bodied Mencía from Valdeorras shows exotic, minerally aromas of raspberry, blueberry and Middle Eastern spices. The palate runs crisp and fresh, but not real deep or intense. Flavors of raspberry, plum and schist finish dry and floral, with a touch of lasting oak.",,88,19.0,Northern Spain,Valdeorras,gaba do xil 2012 mencía valdeorras,Mencía,Gaba do Xil
1029,1029,Spain,"Clean, peachy aromas set up a light, minerally, citrusy body. Flavors of gooseberry, lime and lemon hold steady and double up on gooseberry on the finish. Overall, this is round, minerally and elegant, but also slightly sour and edgy.",,88,18.0,Northern Spain,Bizkaiko Txakolina,gorka izagirre 2013 white bizkaiko txakolina,White Blend,Gorka Izagirre
1031,1031,Spain,"Leathery cherry and cassis aromas are softened up by baking spice accents. In the mouth, this is hard-edged and pointed, with sharp, lemony acidity. Flavors of spiced plum and pie cherry finish with jagged acids and heat. This is a real enamel-peeler; more time in bottle can only help.",Crianza,88,28.0,Northern Spain,Ribera del Duero,linaje garsea 2010 crianza ribera del duero,Tempranillo,Linaje Garsea
1039,1039,Spain,"Varietally correct aromas of peach and melon form a good opening to this mostly fresh but fading Albariño. Flavors of melon, papaya and peach are typical for the grape, and the finish is holding on but showing signs of maturation. Drink immediately.",,87,15.0,Galicia,Rías Baixas,pazo torrado 2013 albariño rías baixas,Albariño,Pazo Torrado
1042,1042,Spain,"A pretty decent Rioja for the vintage, but you're going to have to be ready for some rubbery aromas and then staunch red fruit with a little bite. It's quite the traditional wine, with lemon peel, leather and tobacco. Runs short on the finish.",Crianza,85,15.0,Northern Spain,Rioja,rentas de fincas 2003 crianza rioja,Red Blend,Rentas de Fincas
1051,1051,Spain,"Quite leesy and funky, with meaty, oily aromas that are a departure from normal Albariño and are indicative of the 30% Treixadura and Loureiro that beef things up. Perfectly drinkable, and with a decent mouthfeel, but still it lacks the straightforward cleanliness of the really good wines from Galicia. Imported by Republic National Distributing Co.",Señor da Folla Verde,85,25.0,Galicia,Rías Baixas,marqués de vizhoja 2007 señor da folla verde white rías baixas,White Blend,Marqués de Vizhoja
1053,1053,Spain,"With tobacco, molasses, spearmint and baked fruit aromas, this finds itself squarely in the old school forum. The palate shows straight-ahead red fruit with light herbal and pepper accents. Snappy and a bit thin, but it offers all the basics.",Reserva,85,30.0,Northern Spain,Rioja,finca la emperatriz 2000 reserva rioja,Tempranillo Blend,Finca La Emperatriz
1110,1110,Spain,"With a black color and deep, resiny aromas of licorice, baking spices and black fruits, this is a big, Tempranillo with plenty of size and tannic bite. Flavors of earthy, oaky, loamy plum and blackberry finish with licorice, spice and baked notes. Drink through 2018.",Antiguos Viñedos,90,60.0,Northern Spain,Ribera del Duero,casajús 2011 antiguos viñedos ribera del duero,Tempranillo,Casajús
1111,1111,Spain,"The nose falls somewhere between smoky and gritty, while dusty white-fruit scents prop things up. Peachy acidity and citric tang let you know this is a “nature” Cava, while nectarine, rhubarb and green-herb flavors finish razor crisp and dry.",Reserva Brut Nature,90,25.0,Catalonia,Cava,castellroig 2010 reserva brut nature sparkling cava,Sparkling Blend,Castellroig
1115,1115,Spain,"This 2008 holdover shows a mix of jammy, composed berry aromas as well as staunch notes of dried cheese and leather. The palate is firm at first, then more loamy and layered. On the flavor profile, baked berry blends with brine and cardamom, while on the finish this ready-to-drink RDD delivers licorice and earthy baked notes.",Reserva,90,27.0,Northern Spain,Ribera del Duero,condado de oriza 2008 reserva ribera del duero,Tempranillo,Condado de Oriza
1257,1257,Spain,"Cameron Hughes bottles dozens of wines from California growers, and now he's expanded to include Rioja and Campo de Borja in Spain along with South Africa. This wine is made in the full-throttled, modern style. There's copious oak, toast and darkness on the bouquet, and then full-bodied black plum, raspberry and spice flavors. Quite a bulky, oaky style, but also one endowed with chocolate, nuttiness and depth.",Lot 93,88,21.0,Northern Spain,Rioja,cameron hughes 2004 lot 93 rioja,Tempranillo,Cameron Hughes
1259,1259,Spain,"Bramble and red berry aromas are attractive and almost exotic. Feels a bit furry and scratchy, but tastes of blueberry with an herbal tinge. Finishes well, with a pinch of minty green flavor.",,85,7.0,Central Spain,La Mancha,venta morales 2010 tempranillo la mancha,Tempranillo,Venta Morales
1269,1269,Spain,"Opens with peachy, citric and saline aromas. Feels moderately fresh, but seems as though it's starting to mature as it's fleshy and pithy. Flavors of nectarine, orange and bitter pith are good but lack that ethereal quality that can make Albariño special. Drink now.",,85,30.0,Galicia,Rías Baixas,lusco 2010 albariño rías baixas,Albariño,Lusco
1280,1280,Spain,"A bit scratchy up front, with some heat and rubber to the bouquet. Feels bold, grippy and alive, with lightly herbal flavors of roasted berry and leather. Herbal and blackened on the finish; ripe but basic in quality.",Mesta,84,8.0,Central Spain,Uclés,bodegas fontana 2010 mesta tempranillo uclés,Tempranillo,Bodegas Fontana
1281,1281,Spain,"On the plus side, the wine is exotic and different, with blueberry, herbal notes, juniper and roasted aromas. But in the mouth, it's lean to the point of being thin, with sharp acidity and tight red plum, pie cherry and herbal flavors. Short on the finish, with tang and scour.",Miros de Ribera Crianza,84,27.0,Northern Spain,Ribera del Duero,bodegas peñafiel 2006 miros de ribera crianza ribera del duero,Tempranillo,Bodegas Peñafiel
1294,1294,Spain,"Rubbery berry and plum aromas come with a note of latex. In the mouth, this is juicy, bright and focused, with good raspberry and plum fruit. Textural balance is an attribute, while the finish is round, lively and full of tasty berry flavors. Drink through 2018.",Serras del Priorat,89,30.0,Catalonia,Priorat,clos figueras 2013 serras del priorat red priorat,Red Blend,Clos Figueras
1305,1305,Spain,"This blends intensity and nutty richness on the nose, backed up by a full, balanced palate. Flavors of dark caramel, toffee and chocolate end with the distinct flavor of café mocha and a lasting streak of caramel.",Cream,89,18.0,Andalucia,Jerez,osborne nv cream sherry jerez,Sherry,Osborne
1306,1306,Spain,"Rusty in color and earthy on the nose, with capped aromas of cedar and herbs, this mature Catalonian Cabernet is compact on the palate and fused by firm tannins. Flavors of dried berry, stone fruits and toffee finish long. This ranks as a fun challenge for Spanish wine geeks.",Chateldon Reserva,89,20.0,Catalonia,Penedès,pinord 2007 chateldon reserva cabernet sauvignon penedès,Cabernet Sauvignon,Pinord
1321,1321,Spain,"Focused crisp aromas of white fruits reflect a cool vintage. This is roughly one-quarter each Macabeo, Parellada, Xarello and Chardonnay, and it feels tight, fresh and focused. Dry stone-fruit flavors include a hint of lime, while this is clean on the finish.",Brut Natural Reserva,90,25.0,Catalonia,Penedès,albet i noya 2013 brut natural reserva sparkling penedès,Sparkling Blend,Albet I Noya
1323,1323,Spain,"Briny cidery aromas are fortunately not that loud or intense. This is wide and generous on the palate, with dry briny stone-fruit and apple flavors. A sense of dryness and pickle brine is amplified on a purposeful finish.",Privat Gran Reserva Brut Nature,90,36.0,Catalonia,Cava,alta alella 2013 privat gran reserva brut nature sparkling cava,Sparkling Blend,Alta Alella
1326,1326,Spain,Waxy lightly toasted aromas of yellow apple are more subtle than popping. This barrel-fermented wine offers good weight and balance along with quiet flavors of spiced apple and vanilla. A sophisticated clean finish is lightly oaked in flavor and smooth in feel.,Blanco Fermentado en Barrica,90,33.0,Northern Spain,Rioja,baigorri 2015 blanco fermentado en barrica viura rioja,Viura,Baigorri
1357,1357,Spain,"This Navarran Garnacha is more interesting, offering lemony, floral aromas that are red in nature and not very stout. The palate sizzles with racy acidity, while the flavor profile is pure and tangy, with cranberry and red plum notes. A zesty style of Grenache.",Santa Cruz de Artazu,86,47.0,Northern Spain,Navarra,bodegas artazu 2008 santa cruz de artazu garnacha navarra,Garnacha,Bodegas Artazu
1358,1358,Spain,"This Rioja opens with a jumpy, lively, candied red-fruit aroma. It feels solid, rubbery and stout, with dark fruit flavors that are accented by mild resin and butter notes. Feels a little sticky on the finish, with firm tannins.",Tinto,86,10.0,Northern Spain,Rioja,burgo viejo 2011 tinto rioja,Tempranillo Blend,Burgo Viejo
1530,1530,Spain,"This wine's melon and mango aromas come with an oily note of lanolin. It feels lazy on the palate, with just enough acidity to maintain freshness. Mild tropical fruit flavors turn yeasty on its hollow finish. Drink immediately.",3055,86,15.0,Catalonia,Penedès,jean león 2015 3055 chardonnay penedès,Chardonnay,Jean León
1531,1531,Spain,"Cherry and blackberry aromas come with spice and cool note of cola in this Monatrell-Syrah blend. It's narrow and tannic, with black fruit and desert herb flavors that finish dry and rubbery.",Luzón,86,9.0,Levante,Jumilla,bodegas luzón 2014 luzón red jumilla,Red Blend,Bodegas Luzón
1532,1532,Spain,"This wine's charred nose suggests over-the-top oak. The palate is a rough road of hard grape skin tannins. Char and clove flavors blanket its savory, meaty berry fruit, finishing woody and redolent of clove.",Single Vineyard,85,17.0,Central Spain,La Mancha,volver 2014 single vineyard tempranillo la mancha,Tempranillo,Volver
1540,1540,Spain,"The tomato and plum aromas in this Garnacha blend are a bit soupy. Its chunky palate is heavy with generic berry fruit and a touch of oxidation. A solid, middle-of-the-road pour.",,85,10.0,Catalonia,Montsant,clos de nit 2015 red montsant,Red Blend,Clos de Nit
1545,1545,Spain,"This varietal Xarello feels more flat than vivid. It has fleshy yet generic white fruit aromas, ripe melon flavors and a tired finish.",Tina 20,85,20.0,Catalonia,Alella,raventós de alella 2015 tina 20 pansa blanca alella,Pansa Blanca,Raventós de Alella
1645,1645,Spain,"Cherry cough drop and minerally, almost chlorine aromas lead to an edgy high-acid hard palate. This blend of Carignan, Garnacha and Syrah tastes medicinal and like creamy but fiery red plum. A screechy-feeling, chocolaty-tasting finish leaves an impression.",Bruberry,85,27.0,Catalonia,Montsant,portal del montsant 2014 bruberry red montsant,Red Blend,Portal del Montsant
1701,1701,Spain,"This tiny production SB is sweet and easygoing, with canned peach aromas along with pineapple and mild citrus flavors. Roundness and a smooth feel work in the wine's favor, because there's just enough acidity to push the length on the finish. Drink right away.",Doña Beatriz,86,12.0,Northern Spain,Rueda,bodegas cerrosol 2006 doña beatriz sauvignon rueda,Sauvignon,Bodegas Cerrosol
1708,1708,Spain,"Starts out sharp and funky, and then quickly you realize that it's showing signs of age. The wine blends sweet and sour notes on both the bouquet and palate, issuing primary grapefruit flavors and some mustard greens on the finish. But the feel is chunky and it's losing its zest day by the day.",,86,15.0,Northern Spain,Rueda,vega de la reina 2006 verdejo rueda,Verdejo,Vega de la Reina
1711,1711,Spain,"While we'd suggest waiting for the 2007 to hit the market, this softer-styled wine is showing mature melon, tropical fruit and bee's wax aromas in front of mild citrus, lemon and pineapple flavors. It has a medium-weight body and almost a honeyed roundness. Drink now.",,85,10.0,Northern Spain,Rueda,analivia 2006 verdejo rueda,Verdejo,Analivia
1718,1718,Spain,"This wine is a “product” in every sense of the word. It's consistent from year to year, and if you know Esmeralda, with its sweet blend of Moscatel and Gewürz, then you know that it delivers simple but pleasant lime, kiwi and cantaloupe flavors with a certain watery freshness.",Viña Esmeralda,85,15.0,Catalonia,Catalunya,torres 2006 viña esmeralda moscatel catalunya,Moscatel,Torres
1720,1720,Spain,"Clean, wet, a bit sweet and rather formulaic, this Verdejo has a soft, chummy personality and seemingly more than a dash of residual sugar. Still, it manages to push tasty apple cider, papaya and other fuller-bodied, less acidic flavors.",,85,10.0,Central Spain,Vino de la Tierra de Castilla,tapeña 2006 verdejo de la tierra de castilla,Verdejo,Tapeña
1721,1721,Spain,"The winery has dialed back the time in oak for its barrel-fermented Viura to two months from five or six, and it's a decidedly less oaky wine than in years prior. Now it shows a controlled lees character along with lemon and apple flavors. Limited in what it offers, but made well.",Blanco Fermentado en Barrica,85,8.0,Northern Spain,Rioja,marqués de cáceres 2006 blanco fermentado en barrica white rioja,White Blend,Marqués de Cáceres
1722,1722,Spain,"White raisin and touches of lettuce and celery give this multigrape blend some richness but also a bit of green character. The palate shows lemon, green apple and pineapple, and this lean quality is confirmed by the wine's modest 11% alcohol level. Drink now to catch it at its scouring, sorbet-like best.",Versatus,85,10.0,Galicia,Ribeiro,bodegas campante 2006 versatus white ribeiro,White Blend,Bodegas Campante
1726,1726,Spain,"For classic Rioja, Monte Real is always a good bet. This offering delivers textbook aromas of dried raspberry and cherry offset by fallen leaves and a pinch of seashell. The palate is still quite fresh, while black cherry, raisin, spice and cocoa flavors finish smooth and long, with a touch of oxidation and a Sherry note for added complexity. Drink through 2022.",Monte Real Gran Reserva,92,47.0,Northern Spain,Rioja,bodegas riojanas 2006 monte real gran reserva rioja,Tempranillo,Bodegas Riojanas
1751,1751,Spain,"Briny lemon-lime aromas are simplistic. This blend of Moscatel and Merseguera is foamy, while good acidity keeps it on a level plane. Ripe, sweet flavors of lychee, honeydew and mango are pure Moscato, while acidity from the Mersequera helps this along.",Tarima,84,12.0,Levante,Alicante,volver 2014 tarima sparkling alicante,Sparkling Blend,Volver
1753,1753,Spain,"From the beginning, this crianza from a very good vintage is lacking. The nose is mulchy and cheesy, with almost no fruit character. The palate is edgy in feel, while leafy, stalky red-fruit flavors are salty and taste of vanilla and caramel.",Crianza,84,25.0,Northern Spain,Rioja,finca la pica 2011 crianza rioja,Tempranillo Blend,Finca La Pica
1755,1755,Spain,"Aromas of rhubarb, herbs and strawberry mark the nose. This feels solid and mostly fresh, while flavors of pickled rhubarb and briny plum come with sugary sweetness in front of a salty finish.",Brut Rose,84,13.0,Catalonia,Cava,conde de subirats nv brut rose sparkling cava,Sparkling Blend,Conde de Subirats
1759,1759,Spain,"Charred, blackened aromas of mint, licorice and burnt tire overshadow the wine's black-fruit components. This feels thick and dense, with chewy weight. Medicinal, herbal flavors of black fruits are peppery and a bit green, while mint and cough drop notes control the finish of this 85% Garnacha Tintorera and 15% Monastrell blend.",,84,10.0,Central Spain,Almansa,niel santofimia 2013 red almansa,Red Blend,Niel Santofimia
1764,1764,Spain,"Pickled, briny aromas of citrus and berry fruits are modest. On the palate, this is soft and low on acidity. Flavors of raspberry, cherry and red currant are mild, with a touch of bitterness.",Brut Rose,84,14.0,Catalonia,Cava,biutiful nv brut rose garnacha cava,Garnacha,Biutiful
1782,1782,Spain,"Jammy, ripe blueberry and blackberry aromas belie a crisp, tight palate, with wild berry, licorice and peppery flavors. This is fresh, wiry, firmly structured and alert as well as comfortable and controlled. Think classic Priorat to drink through 2018.",Roureda Llicorella Gran Selecció Vitis 60,91,33.0,Catalonia,Priorat,cellers unió 2009 roureda llicorella gran selecció vitis 60 red priorat,Red Blend,Cellers Unió
1806,1806,Spain,"Cidery aromas are briny. This feels low on bubbles but propped up by citric acidity. Orange and lettuce flavors end in pedestrian fashion, with a note of green herbs. This Cava's moderate, straightforward personality is due to the fact that it's 100% Xarello.",Essential,85,15.0,Catalonia,Cava,juvé y camps 2013 essential xarello cava,Xarel-lo,Juvé y Camps
