designation,wine,wine_year,avg_rating
"Coleccion Roberto Amillo Amontillado N.V.",NULL,NULL,NULL
"1730 Amontillado N.V.",NULL,NULL,NULL
"Old & Plus Oloroso N.V.",NULL,NULL,NULL
"Coleccion Roberto Amillo Palo Cortado N.V.",NULL,NULL,NULL
"Mucho Mas Tinto N.V.",NULL,NULL,NULL
"Finest Old Harvest Medium N.V.",NULL,NULL,NULL
"Del Duque Amontillado Sherry VORS N.V.",NULL,NULL,NULL
"Dos Cortados Palo Cortado Solera Especial Aged 20 Years N.V.",NULL,NULL,NULL
"Antique Palo Cortado N.V.",NULL,NULL,NULL
"Jalifa Amontillado Rare Old Dry Solera Especial Aged 30 Years N.V.",NULL,NULL,NULL
"Candela Cream Dulce Sweet N.V.",NULL,NULL,NULL
"Gines Liebana Pedro Ximenez 1910","Gines Liebana Pedro Ximenez",1910,4.6
"Rioja Reserva Especial 1922","Rioja Reserva Especial",1922,4.4
"Castillo Ygay Gran Reserva Especial Tinto 1925","Castillo Ygay Gran Reserva Especial Tinto",1925,4.433333333333334
"Gran Reserva 1928","Gran Reserva",1928,4.38421052631579
"Don PX Convento Seleccion 1929","Don PX Convento Seleccion",1929,4.7
"Don PX Convento Seleccion 1931","Don PX Convento Seleccion",1931,4.7
"Castillo Ygay Gran Reserva Especial Tinto 1942","Castillo Ygay Gran Reserva Especial Tinto",1942,4.433333333333334
"Don PX Convento Seleccion 1946","Don PX Convento Seleccion",1946,4.7
"Don PX Pedro Ximenez 1946","Don PX Pedro Ximenez",1946,4.514285714285714
"Don PX Seleccion 1949","Don PX Seleccion",1949,4.525
"Marques de Poley Amontillado Seleccion 1951 1951","Marques de Poley Amontillado Seleccion 1951",1951,4.5
"Unico 1953",Unico,1953,4.704878048780491
"Reserva Rioja (Finca Ygay) 1954","Reserva Rioja (Finca Ygay)",1954,4.333333333333333
"Don PX Convento Seleccion 1955","Don PX Convento Seleccion",1955,4.7
"Don PX Pedro Ximenez 1955","Don PX Pedro Ximenez",1955,4.514285714285714
"Don PX Convento Seleccion 1958","Don PX Convento Seleccion",1958,4.7
"Castillo Ygay Gran Reserva Especial Tinto 1959","Castillo Ygay Gran Reserva Especial Tinto",1959,4.433333333333334
"Fuenmayor Gran Reserva 1959","Fuenmayor Gran Reserva",1959,4.3
"Unico 1961",Unico,1961,4.704878048780491
"Unico 1962",Unico,1962,4.704878048780491
"Don PX Seleccion 1962","Don PX Seleccion",1962,4.525
"Unico 1964",Unico,1964,4.704878048780491
"Gran Reserva 1964","Gran Reserva",1964,4.38421052631579
"I Gran Reserva 1964","I Gran Reserva",1964,4.275
"Vina Tondonia Reserva 1964","Vina Tondonia Reserva",1964,4.3
"Rioja Gran Reserva 904 1964","Rioja Gran Reserva 904",1964,4.3500000000000005
"Rioja Reserva 1964","Rioja Reserva",1964,4.305000000000001
"Unico 1965",Unico,1965,4.704878048780491
"Don PX Seleccion 1965","Don PX Seleccion",1965,4.525
"Unico 1967",Unico,1967,4.704878048780491
"Unico 1968",Unico,1968,4.704878048780491
"Don PX Pedro Ximenez 1968","Don PX Pedro Ximenez",1968,4.514285714285714
"Don PX Seleccion 1968","Don PX Seleccion",1968,4.525
"Don PX Convento Seleccion 1968","Don PX Convento Seleccion",1968,4.7
"I Gran Reserva 1968","I Gran Reserva",1968,4.275
"Unico 1969",Unico,1969,4.704878048780491
"Unico 1970",Unico,1970,4.704878048780491
"Reserva 1970",Reserva,1970,4.353846153846154
"I Gran Reserva 1970","I Gran Reserva",1970,4.275
"Rioja Gran Reserva 904 1970","Rioja Gran Reserva 904",1970,4.3500000000000005
"Prado Enea Gran Reserva 1970","Prado Enea Gran Reserva",1970,4.385714285714286
"Unico 1972",Unico,1972,4.704878048780491
"Unico 1973",Unico,1973,4.704878048780491
"Don PX Vieja Cosecha 1973","Don PX Vieja Cosecha",1973,4.5
"Don PX Pedro Ximenez 1973","Don PX Pedro Ximenez",1973,4.514285714285714
"Unico 1974",Unico,1974,4.704878048780491
"Unico 1975",Unico,1975,4.704878048780491
"Valbuena 5o 1975","Valbuena 5o",1975,4.590322580645159
"Valbuena 5o 1976","Valbuena 5o",1976,4.590322580645159
"Gran Reserva 1978","Gran Reserva",1978,4.38421052631579
"Unico 1979",Unico,1979,4.704878048780491
"Valbuena 5o 1979","Valbuena 5o",1979,4.590322580645159
"Unico 1980",Unico,1980,4.704878048780491
"Valbuena 5o 1980","Valbuena 5o",1980,4.590322580645159
"Unico 1981",Unico,1981,4.704878048780491
"Vina Tondonia Gran Reserva Blanco 1981","Vina Tondonia Gran Reserva Blanco",1981,4.5
"Vina Tondonia Gran Reserva 1981","Vina Tondonia Gran Reserva",1981,4.433333333333334
"Gran Reserva 890 1981","Gran Reserva 890",1981,4.5125
"Unico 1982",Unico,1982,4.704878048780491
"Gran Reserva 890 1982","Gran Reserva 890",1982,4.5125
"Unico Reserva Especial Edicion 1982","Unico Reserva Especial Edicion",1982,4.730434782608696
"Rioja Gran Reserva 904 1982","Rioja Gran Reserva 904",1982,4.3500000000000005
"Valbuena 5o 1982","Valbuena 5o",1982,4.590322580645159
"Rioja Reserva 1982","Rioja Reserva",1982,4.305000000000001
"Prado Enea Gran Reserva 1982","Prado Enea Gran Reserva",1982,4.385714285714286
"Unico 1983",Unico,1983,4.704878048780491
"Valbuena 5o 1983","Valbuena 5o",1983,4.590322580645159
"Unico Reserva Especial Edicion 1985","Unico Reserva Especial Edicion",1985,4.730434782608696
"Gran Reserva 890 1985","Gran Reserva 890",1985,4.5125
"Unico 1985",Unico,1985,4.704878048780491
"Valbuena 5o 1985","Valbuena 5o",1985,4.590322580645159
"Prado Enea Gran Reserva 1985","Prado Enea Gran Reserva",1985,4.385714285714286
"Vina Ardanza Reserva 1985","Vina Ardanza Reserva",1985,4.2749999999999995
"Rioja Reserva 1985","Rioja Reserva",1985,4.305000000000001
"Castillo Ygay Gran Reserva Especial Blanco 1986","Castillo Ygay Gran Reserva Especial Blanco",1986,4.7
"Unico 1986",Unico,1986,4.704878048780491
"Unico Reserva Especial Edicion 1986","Unico Reserva Especial Edicion",1986,4.730434782608696
"Rioja Gran Reserva 1986","Rioja Gran Reserva",1986,4.3
"Reserva 1986",Reserva,1986,4.353846153846154
"Don PX Pedro Ximenez 1986","Don PX Pedro Ximenez",1986,4.514285714285714
"Unico 1987",Unico,1987,4.704878048780491
"Unico Reserva Especial Edicion 1987","Unico Reserva Especial Edicion",1987,4.730434782608696
"Anada Palo Cortado 1987 1987","Anada Palo Cortado 1987",1987,4.6
"Valbuena 5o 1987","Valbuena 5o",1987,4.590322580645159
"Rioja Gran Reserva 904 1987","Rioja Gran Reserva 904",1987,4.3500000000000005
"Valbuena 5o 1988","Valbuena 5o",1988,4.590322580645159
"Don PX Gran Reserva 1988","Don PX Gran Reserva",1988,4.366666666666666
"Unico 1989",Unico,1989,4.704878048780491
"Valbuena 5o 1989","Valbuena 5o",1989,4.590322580645159
"Unico Reserva Especial Edicion 1989","Unico Reserva Especial Edicion",1989,4.730434782608696
"Prado Enea Gran Reserva 1989","Prado Enea Gran Reserva",1989,4.385714285714286
"Castillo Ygay Gran Reserva Especial Tinto 1989","Castillo Ygay Gran Reserva Especial Tinto",1989,4.433333333333334
"Gran Reserva 890 1989","Gran Reserva 890",1989,4.5125
"Unico 1990",Unico,1990,4.704878048780491
"Don PX Gran Reserva 1990","Don PX Gran Reserva",1990,4.366666666666666
"Unico 1991",Unico,1991,4.704878048780491
"Anada Palo Cortado 1987 1991","Anada Palo Cortado 1987",1991,4.6
"Prado Enea Gran Reserva 1991","Prado Enea Gran Reserva",1991,4.385714285714286
"Valbuena 5o 1992","Valbuena 5o",1992,4.590322580645159
"Unico 1994",Unico,1994,4.704878048780491
"Rioja Gran Reserva 1994","Rioja Gran Reserva",1994,4.3
"Don PX Pedro Ximenez 1994","Don PX Pedro Ximenez",1994,4.514285714285714
"Valbuena 5o 1994","Valbuena 5o",1994,4.590322580645159
"Gaudium 1994",Gaudium,1994,4.383333333333334
"Grandes Anadas Rioja 1994","Grandes Anadas Rioja",1994,4.425
"Don PX Gran Reserva 1994","Don PX Gran Reserva",1994,4.366666666666666
"Gran Reserva 1994","Gran Reserva",1994,4.38421052631579
"Castillo Ygay Gran Reserva Especial Tinto 1994","Castillo Ygay Gran Reserva Especial Tinto",1994,4.433333333333334
"Rioja Reserva 1994","Rioja Reserva",1994,4.305000000000001
"I Gran Reserva 1994","I Gran Reserva",1994,4.275
"Faustino de Autor Reserva Especial 1994","Faustino de Autor Reserva Especial",1994,4.3
"Unico 1995",Unico,1995,4.704878048780491
"Unico Reserva Especial Edicion 1995","Unico Reserva Especial Edicion",1995,4.730434782608696
"Vina El Pison 1995","Vina El Pison",1995,4.568750000000001
"L'Ermita Velles Vinyes Priorat 1995","L'Ermita Velles Vinyes Priorat",1995,4.666666666666667
"Gran Reserva 890 1995","Gran Reserva 890",1995,4.5125
"Vina Tondonia Gran Reserva 1995","Vina Tondonia Gran Reserva",1995,4.433333333333334
"Ribera del Duero 1995","Ribera del Duero",1995,4.3826086956521735
"Baron de Ona Rioja Reserva 1995","Baron de Ona Rioja Reserva",1995,4.4
"Castillo Ygay Gran Reserva Especial Tinto 1995","Castillo Ygay Gran Reserva Especial Tinto",1995,4.433333333333334
"Gran Reserva 1995","Gran Reserva",1995,4.38421052631579
"Reserva 1995",Reserva,1995,4.353846153846154
"Unico 1996",Unico,1996,4.704878048780491
"Unico Reserva Especial Edicion 1996","Unico Reserva Especial Edicion",1996,4.730434782608696
"L'Ermita Velles Vinyes Priorat 1996","L'Ermita Velles Vinyes Priorat",1996,4.666666666666667
"Pingus 1996",Pingus,1996,4.652941176470589
"Valbuena 5o 1996","Valbuena 5o",1996,4.590322580645159
"Millenium Reserva 1996","Millenium Reserva",1996,4.45
"Ribera del Duero 1996","Ribera del Duero",1996,4.3826086956521735
"Fondillon 1996",Fondillon,1996,4.4
"Classic 1996",Classic,1996,4.339999999999999
"Rioja Gran Reserva 1996","Rioja Gran Reserva",1996,4.3
"Dalmau Rioja 1996","Dalmau Rioja",1996,4.43
"L'Ermita Velles Vinyes Priorat 1997","L'Ermita Velles Vinyes Priorat",1997,4.666666666666667
"Classic 1997",Classic,1997,4.339999999999999
"Finca Dofi 1997","Finca Dofi",1997,4.319999999999999
"Unico 1998",Unico,1998,4.704878048780491
"L'Ermita Velles Vinyes Priorat 1998","L'Ermita Velles Vinyes Priorat",1998,4.666666666666667
"Regina Vides Ribera del Duero 1998","Regina Vides Ribera del Duero",1998,4.455555555555555
"Pingus 1998",Pingus,1998,4.652941176470589
"Grandes Anadas Rioja 1998","Grandes Anadas Rioja",1998,4.425
"Priorat 1998",Priorat,1998,4.43076923076923
"Aurus 1998",Aurus,1998,4.380000000000001
"Rioja Gran Reserva 904 1998","Rioja Gran Reserva 904",1998,4.3500000000000005
"Gran Reserva 1998","Gran Reserva",1998,4.38421052631579
"Castillo Ygay Gran Reserva Especial Tinto 1998","Castillo Ygay Gran Reserva Especial Tinto",1998,4.433333333333334
"Gaudium 1998",Gaudium,1998,4.383333333333334
"Reserva Real 1998","Reserva Real",1998,4.3
"Unico 1999",Unico,1999,4.704878048780491
"Ribera Del Duero Gran Reserva 12 Anos 1999","Ribera Del Duero Gran Reserva 12 Anos",1999,4.8
"Pingus 1999",Pingus,1999,4.652941176470589
"Valbuena 5o 1999","Valbuena 5o",1999,4.590322580645159
"L'Ermita Velles Vinyes Priorat 1999","L'Ermita Velles Vinyes Priorat",1999,4.666666666666667
"Vina El Pison 1999","Vina El Pison",1999,4.568750000000001
"Priorat 1999",Priorat,1999,4.43076923076923
"Finca Dofi 1999","Finca Dofi",1999,4.319999999999999
"Grandes Anadas Rioja 1999","Grandes Anadas Rioja",1999,4.425
"Don PX Pedro Ximenez 1999","Don PX Pedro Ximenez",1999,4.514285714285714
"Unico 2000",Unico,2000,4.704878048780491
"Unico Reserva Especial Edicion 2000","Unico Reserva Especial Edicion",2000,4.730434782608696
"L'Ermita Velles Vinyes Priorat 2000","L'Ermita Velles Vinyes Priorat",2000,4.666666666666667
"Cirsion Rioja 2000","Cirsion Rioja",2000,4.6
"Valbuena 5o 2000","Valbuena 5o",2000,4.590322580645159
"Pingus 2000",Pingus,2000,4.652941176470589
"Grans Muralles 2000","Grans Muralles",2000,4.42
"Dalmau Rioja 2000","Dalmau Rioja",2000,4.43
"Termanthia 2000",Termanthia,2000,4.575
"Ribera del Duero 2000","Ribera del Duero",2000,4.3826086956521735
"Finca Dofi 2000","Finca Dofi",2000,4.319999999999999
"Roda I Reserva Rioja 2000","Roda I Reserva Rioja",2000,4.372727272727271
"Priorat 2000",Priorat,2000,4.43076923076923
"Tinto 2000",Tinto,2000,4.445283018867927
"Gran Reserva 2000","Gran Reserva",2000,4.38421052631579
"Vina Ardanza Reserva 2000","Vina Ardanza Reserva",2000,4.2749999999999995
"Antigues Reserves 2000","Antigues Reserves",2000,4.3
"Pingus 2001",Pingus,2001,4.652941176470589
"Gran Reserva 2001","Gran Reserva",2001,4.38421052631579
"Ribera del Duero Prestigio Pago de las Solanas 2001","Ribera del Duero Prestigio Pago de las Solanas",2001,4.55
"Frank Gehry Selection 2001","Frank Gehry Selection",2001,4.6
"L'Ermita Velles Vinyes Priorat 2001","L'Ermita Velles Vinyes Priorat",2001,4.666666666666667
"Vina del Olivo 2001","Vina del Olivo",2001,4.416666666666667
"Dalmau Rioja 2001","Dalmau Rioja",2001,4.43
"Cava Enoteca Finca La Plana Brut Nature 2001","Cava Enoteca Finca La Plana Brut Nature",2001,4.6
"Grandes Anadas Rioja 2001","Grandes Anadas Rioja",2001,4.425
"Vina Tondonia Gran Reserva 2001","Vina Tondonia Gran Reserva",2001,4.433333333333334
"Ribera del Duero 2001","Ribera del Duero",2001,4.3826086956521735
"200 Monges Rioja Gran Reserva 2001","200 Monges Rioja Gran Reserva",2001,4.35
"Culmen Reserva Rioja 2001","Culmen Reserva Rioja",2001,4.433333333333334
"Gran Reserva Classica Tinto 2001","Gran Reserva Classica Tinto",2001,4.4
"Vina El Pison 2001","Vina El Pison",2001,4.568750000000001
"Toro 2001",Toro,2001,4.377777777777778
"Roda I Reserva Rioja 2001","Roda I Reserva Rioja",2001,4.372727272727271
"Pagos Viejos 2001","Pagos Viejos",2001,4.333333333333333
"Clos Fonta Priorat 2001","Clos Fonta Priorat",2001,4.3999999999999995
"Aurus 2001",Aurus,2001,4.380000000000001
"Regina Vides Ribera del Duero 2001","Regina Vides Ribera del Duero",2001,4.455555555555555
"Unico 2002",Unico,2002,4.704878048780491
"Valbuena 5o 2002","Valbuena 5o",2002,4.590322580645159
"Finca el Bosque 2002","Finca el Bosque",2002,4.5
"Calvario Rioja 2002","Calvario Rioja",2002,4.45
"Cava Enoteca Finca de L'Origen Brut Nature 2002","Cava Enoteca Finca de L'Origen Brut Nature",2002,4.5
"Reserva 2002",Reserva,2002,4.353846153846154
"Tempranillo Reserva 2002","Tempranillo Reserva",2002,4.333333333333333
"Clos Martinet 2002","Clos Martinet",2002,4.34
"Dalmau Rioja 2002","Dalmau Rioja",2002,4.43
"Doix 2002",Doix,2002,4.385714285714285
"Mas Via Gran Reserva Brut 2002","Mas Via Gran Reserva Brut",2002,4.4
"Amancio 2002",Amancio,2002,4.485714285714286
"Unico 2003",Unico,2003,4.704878048780491
"Pingus 2003",Pingus,2003,4.652941176470589
"Priorat 2003",Priorat,2003,4.430769230769231
"Valbuena 5o 2003","Valbuena 5o",2003,4.590322580645159
"Ribera del Duero 2003","Ribera del Duero",2003,4.3826086956521735
"L'Ermita Velles Vinyes Priorat 2003","L'Ermita Velles Vinyes Priorat",2003,4.666666666666667
"Baron de Chirel Rioja Reserva 2003","Baron de Chirel Rioja Reserva",2003,4.3999999999999995
"Pesus Ribera del Duero 2003","Pesus Ribera del Duero",2003,4.525
"Solanes Priorat 2003","Solanes Priorat",2003,4.4
"Toro 2003",Toro,2003,4.377777777777778
"Clos Martinet 2003","Clos Martinet",2003,4.34
"Finca Dofi 2003","Finca Dofi",2003,4.319999999999999
"Unico Reserva Especial Edicion 2004","Unico Reserva Especial Edicion",2004,4.730434782608696
"L'Ermita Velles Vinyes Priorat 2004","L'Ermita Velles Vinyes Priorat",2004,4.666666666666667
"Unico 2004",Unico,2004,4.704878048780491
"Pingus 2004",Pingus,2004,4.652941176470589
"Termanthia 2004",Termanthia,2004,4.575
"Pesus Ribera del Duero 2004","Pesus Ribera del Duero",2004,4.525
"Valbuena 5o 2004","Valbuena 5o",2004,4.590322580645159
"Clos Fonta Priorat 2004","Clos Fonta Priorat",2004,4.3999999999999995
"Gran Arzuaga Ribera del Duero 2004","Gran Arzuaga Ribera del Duero",2004,4.6
"Gran Buig Priorat 2004","Gran Buig Priorat",2004,4.6
"Son Negre 2004","Son Negre",2004,4.516666666666667
"Corpinnat Enoteca Reserva Particular de Recaredo 2004","Corpinnat Enoteca Reserva Particular de Recaredo",2004,4.6
"Gran Reserva 890 2004","Gran Reserva 890",2004,4.5125
"Aro 2004",Aro,2004,4.5
"Mas Via Gran Reserva Brut 2004","Mas Via Gran Reserva Brut",2004,4.4
"AAA 2004",AAA,2004,4.55
"Confesor Rioja 2004","Confesor Rioja",2004,4.5
"Petit Verdot 2004","Petit Verdot",2004,4.466666666666667
"Castillo Ygay Gran Reserva Especial Tinto 2004","Castillo Ygay Gran Reserva Especial Tinto",2004,4.433333333333334
"Ribera del Duero 2004","Ribera del Duero",2004,4.3826086956521735
"Pagos Viejos 2004","Pagos Viejos",2004,4.333333333333333
"La Cueva del Contador Rioja 2004","La Cueva del Contador Rioja",2004,4.4
"Blecua Somontano 2004","Blecua Somontano",2004,4.425
"Perinet + Plus 2004","Perinet + Plus",2004,4.4
"Rioja Gran Reserva 904 2004","Rioja Gran Reserva 904",2004,4.3500000000000005
"Toro 2004",Toro,2004,4.377777777777778
"Roda Reserva Rioja 2004","Roda Reserva Rioja",2004,4.228571428571429
"Clos Martinet 2004","Clos Martinet",2004,4.34
"Gran Vino Blanco 2004","Gran Vino Blanco",2004,4.3
"Aurus 2004",Aurus,2004,4.380000000000001
"Vina del Olivo 2004","Vina del Olivo",2004,4.416666666666667
"Seleccion Especial (Reserva) 2004","Seleccion Especial (Reserva)",2004,4.25
"Rioja Reserva 2004","Rioja Reserva",2004,4.305000000000001
"Unico Reserva Especial Edicion 2005","Unico Reserva Especial Edicion",2005,4.730434782608696
"Unico 2005",Unico,2005,4.704878048780491
"Valbuena 5o 2005","Valbuena 5o",2005,4.590322580645159
"Termanthia 2005",Termanthia,2005,4.575
"Contador Rioja 2005","Contador Rioja",2005,4.616666666666666
"L'Ermita Velles Vinyes Priorat 2005","L'Ermita Velles Vinyes Priorat",2005,4.666666666666667
"Pingus 2005",Pingus,2005,4.652941176470589
"Vina El Pison 2005","Vina El Pison",2005,4.568750000000001
"Maria Remirez de Ganuza 2005","Maria Remirez de Ganuza",2005,4.65
"Aurus 2005",Aurus,2005,4.380000000000001
"Castillo Ygay Gran Reserva Especial Tinto 2005","Castillo Ygay Gran Reserva Especial Tinto",2005,4.433333333333334
"Gran Reserva 890 2005","Gran Reserva 890",2005,4.5125
"Clos de L'Obac 2005","Clos de L'Obac",2005,4.433333333333334
"Turo d'en Mota 2005","Turo d'en Mota",2005,4.566666666666666
"Gratallops Partida Bellvisos 2005","Gratallops Partida Bellvisos",2005,4.45
"Son Negre 2005","Son Negre",2005,4.516666666666667
"Ribera del Duero 2005","Ribera del Duero",2005,4.3826086956521735
"Roda I Reserva Rioja 2005","Roda I Reserva Rioja",2005,4.372727272727271
"Baron de Chirel Rioja Reserva 2005","Baron de Chirel Rioja Reserva",2005,4.3999999999999995
"Miserere 2005",Miserere,2005,4.45
"Toro 2V Premium 2005","Toro 2V Premium",2005,4.4
"De Garage Rioja 2005","De Garage Rioja",2005,4.35
"Pago de Las Costanas 2005","Pago de Las Costanas",2005,4.4
"Torre Muga 2005","Torre Muga",2005,4.366666666666666
"Clos Martinet 2005","Clos Martinet",2005,4.34
"Priorat 2005",Priorat,2005,4.43076923076923
"Ribera del Duero Tinto 2005","Ribera del Duero Tinto",2005,4.3
"200 Monges Rioja Gran Reserva 2005","200 Monges Rioja Gran Reserva",2005,4.35
"200 Monges Rioja Reserva 2005","200 Monges Rioja Reserva",2005,4.319999999999999
"El Puntido 2005","El Puntido",2005,4.266666666666667
"Vina Tondonia Reserva Blanco 2005","Vina Tondonia Reserva Blanco",2005,4.2
"Montsalvat 2005",Montsalvat,2005,4.3
"Honoris 2005",Honoris,2005,4.3
"Hiru 3 Rioja Racimos 2005","Hiru 3 Rioja Racimos",2005,4.3
"Rioja 2005",Rioja,2005,4.3
"Valbuena 5o 2006","Valbuena 5o",2006,4.590322580645159
"Unico 2006",Unico,2006,4.704878048780491
"Pingus 2006",Pingus,2006,4.652941176470589
"Maria Remirez de Ganuza 2006","Maria Remirez de Ganuza",2006,4.65
"Unico Reserva Especial Edicion 2006","Unico Reserva Especial Edicion",2006,4.730434782608696
"Cami Pesseroles 2006","Cami Pesseroles",2006,4.481818181818182
"Vina El Pison 2006","Vina El Pison",2006,4.568750000000001
"Trasnocho 2006",Trasnocho,2006,4.483333333333333
"Finca Dofi 2006","Finca Dofi",2006,4.319999999999999
"Turo d'en Mota 2006","Turo d'en Mota",2006,4.566666666666666
"Reserva Especial 2006","Reserva Especial",2006,4.5
"Ribera del Duero TSM 2006","Ribera del Duero TSM",2006,4.433333333333334
"200 Monges Rioja Reserva Seleccion Especial 2006","200 Monges Rioja Reserva Seleccion Especial",2006,4.5
"Ribera del Duero 2006","Ribera del Duero",2006,4.3826086956521735
"Torre Muga 2006","Torre Muga",2006,4.366666666666666
"Cava Celler Batlle 2006","Cava Celler Batlle",2006,4.4
"Rioja Reserva 2006","Rioja Reserva",2006,4.305000000000001
"El Puntido Gran Reserva 2006","El Puntido Gran Reserva",2006,4.35
"Alenza Ribera del Duero Gran Reserva 2006","Alenza Ribera del Duero Gran Reserva",2006,4.3
"Priorat 2006",Priorat,2006,4.430769230769231
"Clos Martinet 2006","Clos Martinet",2006,4.34
"Rioja Norte 2006","Rioja Norte",2006,4.3
"Toro 2006",Toro,2006,4.377777777777778
"Pesus Ribera del Duero 2007","Pesus Ribera del Duero",2007,4.525
"Unico 2007",Unico,2007,4.704878048780491
"Unico Reserva Especial Edicion 2007","Unico Reserva Especial Edicion",2007,4.730434782608696
"Turo d'en Mota 2007","Turo d'en Mota",2007,4.566666666666666
"Priorat 2007",Priorat,2007,4.430769230769231
"Daphne Glorian Red 2007","Daphne Glorian Red",2007,4.7
"Valbuena 5o 2007","Valbuena 5o",2007,4.590322580645159
"Cirsion Rioja 2007","Cirsion Rioja",2007,4.6
"Amancio 2007",Amancio,2007,4.485714285714286
"Son Negre 2007","Son Negre",2007,4.516666666666667
"Gran Reserva 2007","Gran Reserva",2007,4.38421052631579
"Mas del Serral 2007","Mas del Serral",2007,4.5
"Tinto 2007",Tinto,2007,4.445283018867926
"Ribera del Duero 2007","Ribera del Duero",2007,4.3826086956521735
"El Puntido Gran Reserva 2007","El Puntido Gran Reserva",2007,4.35
"Doix 2007",Doix,2007,4.385714285714285
"Clos Martinet 2007","Clos Martinet",2007,4.34
"Malleolus de Sanchomartin 2007","Malleolus de Sanchomartin",2007,4.55
"Vina El Pison 2007","Vina El Pison",2007,4.568750000000001
"Cami Pesseroles 2007","Cami Pesseroles",2007,4.481818181818182
"Gratallops Partida Bellvisos 2007","Gratallops Partida Bellvisos",2007,4.45
"San Vicente Rioja 2007","San Vicente Rioja",2007,4.366666666666666
"Finca Dofi 2007","Finca Dofi",2007,4.319999999999999
"V2 Tinto 2007","V2 Tinto",2007,4.3999999999999995
"Clos Monlleo 2007","Clos Monlleo",2007,4.35
"Vina Ardanza Reserva 2007","Vina Ardanza Reserva",2007,4.2749999999999995
"Rioja Gran Reserva 2007","Rioja Gran Reserva",2007,4.3
"QS 2007",QS,2007,4.25
"Musivari Gran Reserva Brut Nature 2007","Musivari Gran Reserva Brut Nature",2007,4.3
"Montsalvat 2007",Montsalvat,2007,4.3
"Vina Bosconia Reserva 2007","Vina Bosconia Reserva",2007,4.2
"L'Ermita Velles Vinyes Priorat 2008","L'Ermita Velles Vinyes Priorat",2008,4.666666666666667
