id,wine,price,rating,body,acidity,num_reviews
117,Tinto,1325.0,4.7,5.0,3.0,102
118,Quinon de Valmira,527.26,4.7,4.0,3.0,102
119,Unico Reserva Especial Edicion,1071.45,4.7,5.0,3.0,100
120,1902 Centenary Carignan Priorat,299.0,4.7,4.0,3.0,94
121,Tintilla de Rota,43.13,4.7,,,92
122,Unico,1207.6,4.7,5.0,3.0,89
123,Cirsion Rioja,175.0,4.7,4.0,3.0,87
124,L'Ermita Velles Vinyes Priorat,1252.35,4.7,4.0,3.0,82
125,El Nido,145.9,4.7,4.0,3.0,80
126,1902 Centenary Carignan Priorat,447.95,4.7,4.0,3.0,74
127,Unico Reserva Especial Edicion,813.96,4.7,5.0,3.0,72
128,L'Ermita Velles Vinyes Priorat,1410.26,4.7,4.0,3.0,67
129,Cami Pesseroles,182.9,4.7,4.0,3.0,65
130,Turo d'en Mota,99.0,4.7,2.0,3.0,64
131,Unico Reserva Especial Edicion,1113.2,4.7,5.0,3.0,63
132,Priorat,654.31,4.7,4.0,3.0,60
133,Parcela El Picon Tinto,134.26,4.7,5.0,3.0,59
134,Reliquia Palo Cortado Sherry,380.0,4.7,4.0,3.0,58
135,Gran Reserva 890,292.09,4.7,4.0,3.0,57
136,Anada Palo Cortado 1987,400.85,4.7,4.0,3.0,53
137,Daphne Glorian Red,202.01,4.7,4.0,3.0,51
138,Don PX Pedro Ximenez,250.0,4.7,5.0,1.0,50
139,La Nieta,88.9,4.7,4.0,3.0,49
140,El Regollar,77.9,4.7,4.0,3.0,49
141,Don PX Convento Seleccion,191.61,4.7,5.0,1.0,47
142,Alabaster,123.89,4.7,5.0,3.0,45
143,Abuelo Diego Palo Cortado,114.28,4.7,5.0,1.0,42
144,La Bota 78 de Oloroso,95.57,4.7,4.0,3.0,41
145,Touran,93.95,4.7,5.0,3.0,41
146,Luthier Gran Reserva,248.0,4.7,5.0,3.0,40
147,Vina El Pison,397.0,4.7,4.0,2.0,39
148,Sorte O Soro Val do Bibei,194.86,4.7,,,37
149,Reserva Particular de Recaredo Brut Nature,65.05,4.7,2.0,3.0,35
150,Terreus Paraje de Cueva Baja,86.9,4.7,4.0,2.0,33
151,Pesus Ribera del Duero,472.5,4.7,5.0,3.0,32
152,Usted,379.0,4.7,4.0,3.0,31
153,Gran Reserva,185.15,4.7,5.0,3.0,31
154,Regina Vides Ribera del Duero,94.2,4.7,5.0,3.0,30
155,La Loma,46.0,4.7,4.0,3.0,29
156,L'Ermita Velles Vinyes Priorat,919.6,4.7,4.0,3.0,28
157,Recondita Armonia Monastrell Dulce,81.9,4.7,,,27
158,Castillo Ygay Gran Reserva Especial Tinto,680.0,4.7,4.0,3.0,27
159,Valbuena 5o,218.0,4.6,5.0,3.0,6803
160,Valbuena 5o,177.0,4.6,5.0,3.0,5938
161,Valbuena 5o,187.3,4.6,5.0,3.0,5545
162,Valbuena 5o,195.59,4.6,5.0,3.0,5116
163,Valbuena 5o,135.0,4.6,5.0,3.0,4747
164,Valbuena 5o,225.2,4.6,5.0,3.0,4685
165,Ribera del Duero,79.8,4.6,5.0,3.0,4516
166,PS (Pagos Seleccionados) Ribera del Duero,116.187943627787,4.6,5.0,3.0,3383
167,PS (Pagos Seleccionados) Ribera del Duero,89.3,4.6,5.0,3.0,3239
168,Castillo Ygay Gran Reserva Especial Tinto,438.9,4.6,4.0,3.0,2416
169,Ribera del Duero,79.9,4.6,5.0,3.0,2208
170,Valbuena 5o,249.0,4.6,5.0,3.0,1608
171,Flor de Pingus,129.95,4.6,5.0,3.0,1363
172,PS (Pagos Seleccionados) Ribera del Duero,76.95,4.6,5.0,3.0,1108
173,Valbuena 5o,252.0,4.6,5.0,3.0,1015
174,Valbuena 5o,232.0,4.6,5.0,3.0,936
175,Termanthia,214.0,4.6,5.0,3.0,840
176,Termanthia,205.0,4.6,5.0,3.0,790
177,Pago De Valtarrena,49.95,4.6,5.0,3.0,700
178,Malleolus de Sanchomartin,125.0,4.6,5.0,3.0,693
179,Valbuena 5o,276.8,4.6,5.0,3.0,595
180,Malleolus de Valderramiro,75.0,4.6,5.0,3.0,516
181,Pingus,1359.75,4.6,5.0,3.0,410
182,Cuesta de Las Liebres,81.5,4.6,5.0,3.0,405
183,Pingus,890.0,4.6,5.0,3.0,400
184,El Titan del Bendito,43.5,4.6,5.0,3.0,388
185,Malleolus de Sanchomartin,99.0,4.6,5.0,3.0,369
186,Pingus,1198.72,4.6,5.0,3.0,323
187,Terreus Paraje de Cueva Baja,94.95,4.6,4.0,2.0,313
188,Terreus Paraje de Cueva Baja,89.0,4.6,4.0,2.0,304
189,Pingus,1785.96,4.6,5.0,3.0,293
190,La Nieta,108.21,4.6,4.0,3.0,286
191,Vina El Pison,391.5,4.6,4.0,2.0,274
192,Pingus,1350.0,4.6,5.0,3.0,244
193,Cirsion Rioja,145.0,4.6,4.0,3.0,242
194,Cirsion Rioja,173.38,4.6,4.0,3.0,231
195,Contador Rioja,220.0,4.6,4.0,3.0,225
196,Dalmau Rioja,85.7,4.6,4.0,3.0,222
197,Unico,2884.04,4.6,5.0,3.0,218
198,Finca el Bosque,79.9,4.6,4.0,3.0,214
199,Pago de Santa Cruz,68.7,4.6,5.0,3.0,211
200,Pingus,1638.95,4.6,5.0,3.0,205
201,Clos Fonta Priorat,150.0,4.6,4.0,3.0,202
202,Pago De Valtarrena,48.95,4.6,5.0,3.0,200
203,Parcela El Picon Tinto,109.41,4.6,5.0,3.0,197
204,Malleolus de Sanchomartin,119.0,4.6,5.0,3.0,186
205,Valbuena 5o,195.0,4.6,5.0,3.0,176
206,Pingus,1595.0,4.6,5.0,3.0,172
207,Vina El Pison,519.55,4.6,4.0,2.0,169
208,Parcela El Picon Tinto,89.0,4.6,5.0,3.0,165
209,Vina El Pison,511.9,4.6,4.0,2.0,165
210,L'Ermita Velles Vinyes Priorat,980.0,4.6,4.0,3.0,164
211,Cuvee N Vinas Viejas,73.0,4.6,4.0,3.0,160
212,Vina El Pison,280.0,4.6,4.0,2.0,159
213,Unico,932.3,4.6,5.0,3.0,157
214,Contador Rioja,251.99,4.6,4.0,3.0,157
215,Cartago Paraje de Pozo,61.69,4.6,5.0,3.0,153
216,L'Ermita Velles Vinyes Priorat,1372.14,4.6,4.0,3.0,150
217,Termanthia,210.5,4.6,5.0,3.0,147
218,Valbuena 5o,285.0,4.6,5.0,3.0,146
219,Ribera del Duero Prestigio Pago de las Solanas,245.75,4.6,5.0,3.0,145
220,Valbuena 5o,228.57,4.6,5.0,3.0,143
221,Contador Rioja,319.9,4.6,4.0,3.0,143
222,Vina El Pison,325.0,4.6,4.0,2.0,142
223,Nit de Nin Mas d'en Cacador,345.0,4.6,4.0,3.0,139
224,VS,58.9,4.6,4.0,2.0,136
225,Maria Remirez de Ganuza,159.0,4.6,4.0,3.0,136
226,Blecua Somontano,69.9,4.6,4.0,3.0,135
227,Unico Reserva Especial Edicion,895.4,4.6,5.0,3.0,133
228,Alabaster,147.85,4.6,5.0,3.0,131
229,Terreus Paraje de Cueva Baja,88.05,4.6,4.0,2.0,128
230,L'Ermita Velles Vinyes Priorat,1080.0,4.6,4.0,3.0,127
231,Frank Gehry Selection,301.0,4.6,4.0,2.0,124
232,Vina El Pison,275.0,4.6,4.0,2.0,124
233,Unico,1106.24,4.6,5.0,3.0,123
234,Amaya Arzuaga (Coleccion),64.9,4.6,5.0,3.0,123
235,Pingus,1503.0,4.6,5.0,3.0,122
236,L'Ermita Velles Vinyes Priorat,1372.14,4.6,4.0,3.0,122
237,Vina El Pison,241.55,4.6,4.0,2.0,122
238,La Creu Alta,89.17,4.6,4.0,3.0,116
239,Unico,769.9,4.6,5.0,3.0,115
240,Tinto,67.94,4.6,5.0,3.0,114
241,5o Ano Ribera del Duero Tinto,44.0,4.6,5.0,3.0,113
242,Vina El Pison,445.0,4.6,4.0,2.0,113
243,Planots Priorat,87.02,4.6,4.0,3.0,112
244,Unico Reserva Especial Edicion,747.17,4.6,5.0,3.0,111
245,El Titan del Bendito,49.95,4.6,5.0,3.0,111
246,Capitel,50.51,4.6,3.0,3.0,107
247,Gran Arzuaga Ribera del Duero,157.4,4.6,5.0,3.0,105
248,Aquilon Garnacha,120.9,4.6,5.0,3.0,105
249,Pingus,1746.94,4.6,5.0,3.0,102
250,Horcajo,75.3,4.6,5.0,3.0,100
251,Pago De Valtarrena,47.5,4.6,5.0,3.0,99
252,Unico,359.9,4.6,5.0,3.0,98
253,Tinto,43.5,4.6,5.0,3.0,97
254,Aurus,136.0,4.6,4.0,3.0,95
255,Dolc de L'Obac,117.239420060872,4.6,,,94
256,Parcela El Picon Tinto,135.0,4.6,5.0,3.0,93
257,Trasnocho,82.5,4.6,4.0,3.0,91
258,Cirsion Rioja,149.9,4.6,4.0,3.0,90
259,Tinto,1260.0,4.6,5.0,3.0,87
260,Doroteo Edicion Especial 25 Aniversario,59.0,4.6,5.0,3.0,86
261,Tierra Alta de 2 Racimos Gran Reserva,82.5,4.6,5.0,3.0,85
262,Castillo Ygay Gran Reserva Especial Tinto,195.0,4.6,4.0,3.0,85
263,Valbuena 5o,195.0,4.6,5.0,3.0,84
264,Reserva Especial Ribera del Duero,54.5,4.6,5.0,3.0,83
265,Reserva Especial,79.1,4.6,5.0,3.0,80
266,Gran Buig Priorat,272.0,4.6,4.0,3.0,79
267,Finca Garbet,99.0,4.6,4.0,3.0,75
268,Solera India Oloroso Rare Sherry,189.99,4.6,4.0,3.0,74
269,Clon De La Familia,317.63,4.6,5.0,3.0,72
270,Amancio,399.6,4.6,4.0,3.0,70
271,Gines Liebana Pedro Ximenez,701.05,4.6,5.0,1.0,70
272,Reserva Particular de Recaredo Brut Nature,74.9,4.6,2.0,3.0,69
273,Priorat,654.31,4.6,4.0,3.0,66
274,Valbuena 5o,247.75,4.6,5.0,3.0,66
275,Don PX Seleccion,144.99,4.6,5.0,1.0,65
276,L'Ermita Velles Vinyes Priorat,945.0,4.6,4.0,3.0,65
277,Reserva,50.0,4.6,5.0,3.0,64
278,Finca Las Naves,126.64,4.6,4.0,3.0,63
279,AAA,162.38,4.6,4.0,3.0,63
280,Vina del Olivo,81.0,4.6,4.0,3.0,60
281,L'Ermita Velles Vinyes Priorat,2750.0,4.6,4.0,3.0,60
282,Dalmau Rioja,121.0,4.6,4.0,3.0,59
283,Les Aubaguetes Priorat,355.95,4.6,4.0,3.0,59
284,Cava Enoteca Finca La Plana Brut Nature,164.66,4.6,2.0,3.0,58
285,Aquilon Garnacha,120.9,4.6,5.0,3.0,58
286,Gran Reserva Penas Aladas,218.9,4.6,5.0,3.0,58
287,Pena Lobera,65.95,4.6,5.0,3.0,57
288,La Creu Alta,86.0,4.6,4.0,3.0,53
289,Adega do Moucho Treixadura,34.5,4.6,,,53
290,Son Negre,282.65,4.6,4.0,3.0,51
291,1902 Centenary Carignan Priorat,259.9,4.6,4.0,3.0,51
292,Unico,1099.28,4.6,5.0,3.0,50
293,Casa Cisca Monastrell,35.0,4.6,5.0,3.0,49
294,Moncerbal Bierzo (Corullon),269.95,4.6,3.0,3.0,48
295,Capricho,27.2693427,4.6,4.0,3.0,47
296,Pingus,1250.0,4.6,5.0,3.0,47
297,Cerrado del Castillo Rioja,52.95,4.6,4.0,3.0,47
298,Kalamity Rioja,114.95,4.6,4.0,3.0,46
299,Conde de Aldama Amontillado,89.9,4.6,4.0,3.0,46
300,Valbuena 5o,195.0,4.6,5.0,3.0,46
301,Respeto,29.35,4.6,4.0,3.0,45
302,El Garnacho Viejo de la Familia Acha,79.9,4.6,4.0,3.0,45
303,Ribera del Duero Prestigio,53.95,4.6,5.0,3.0,45
304,Finca Misenhora Edicion Limitada,26.2,4.6,,,44
305,1902 Centenary Carignan Priorat,270.44,4.6,4.0,3.0,43
306,La Poza de Ballesteros,187.5,4.6,4.0,2.0,42
307,Reserva Rioja (Finca Ygay),210.0,4.6,4.0,3.0,42
308,Reserva Especial,85.63,4.6,5.0,3.0,41
309,Vina El Pison,304.54,4.6,4.0,2.0,41
310,Idus,34.3,4.6,4.0,3.0,41
311,Priorat,993.28,4.6,4.0,3.0,41
312,Amancio,85.95,4.6,4.0,3.0,40
313,Rosado de Larrainzar,12.0,4.6,,,39
314,Clon De La Familia,249.9,4.6,5.0,3.0,39
315,Unico Reserva Especial Edicion,1238.43,4.6,5.0,3.0,39
316,Finca el Bosque,128.0,4.6,4.0,3.0,38
317,Valdafoz Bierzo (Corullon),135.5,4.6,3.0,3.0,38
318,Tinto,40.5,4.6,4.0,3.0,38
319,Tintilla de Rota,43.1,4.6,,,37
320,La Creu Alta,85.0,4.6,4.0,3.0,36
321,Rioja Gran Reserva,123.0,4.6,4.0,3.0,35
322,Valdegatiles Ribera del Duero,106.35,4.6,5.0,3.0,34
323,Don PX Seleccion,207.0,4.6,5.0,1.0,34
324,Respublica Verdejo,75.95,4.6,3.0,3.0,33
325,Gran Reserva Penas Aladas,185.3,4.6,5.0,3.0,33
326,Les Tosses,205.95,4.6,4.0,3.0,33
327,Torremilanos Coleccion Ribera del Duero,40.45,4.6,5.0,3.0,32
328,El Carretil,176.89,4.6,4.0,2.0,32
329,Taberner No. 1,79.9,4.6,4.0,3.0,32
330,Vina Motulleri,79.0,4.6,4.0,3.0,30
331,Saktih,195.27,4.6,4.0,3.0,30
332,Cuvee Palomar,58.9,4.6,4.0,3.0,30
333,L'Ermita Velles Vinyes Priorat,1660.0,4.6,4.0,3.0,30
334,Valdegatiles Ribera del Duero,111.9,4.6,5.0,3.0,29
335,Respeto,29.95,4.6,4.0,3.0,29
336,Uno Tinto,129.9,4.6,4.0,3.0,28
337,Macan,69.95,4.6,4.0,3.0,28
338,1903 Centenary Grenache,299.0,4.6,4.0,3.0,28
339,La Faraona Bierzo (Corullon),3119.08,4.6,4.0,3.0,28
340,Galiano Seleccion Especial,99.95,4.6,4.0,3.0,28
341,Molino Real,41.69,4.6,,,28
342,Son Negre,374.35,4.6,4.0,3.0,27
343,5o Ano Ribera del Duero Tinto,46.45,4.6,5.0,3.0,27
344,L'Ermita Velles Vinyes Priorat,2750.0,4.6,4.0,3.0,27
345,Etern Vinyes Molt Velles,42.5,4.6,4.0,3.0,26
346,40 Aniversario Gran Reserva,95.0,4.6,5.0,3.0,25
347,Solera BC-200,197.3,4.6,4.0,3.0,25
348,Corpinnat Enoteca Reserva Particular de Recaredo,130.0,4.6,2.0,3.0,25
349,Don PX Pedro Ximenez,181.5,4.6,5.0,1.0,25
350,Tinto,29.8,4.5,5.0,3.0,7529
351,Ribera del Duero,73.0,4.5,5.0,3.0,7435
352,Ribera del Duero,56.27,4.5,5.0,3.0,7237
353,Toro,69.0,4.5,5.0,3.0,5863
354,Tinto,45.0,4.5,5.0,3.0,5372
355,Ribera del Duero,75.0,4.5,5.0,3.0,5365
356,Toro,69.8,4.5,5.0,3.0,4979
357,Tinto,121.936825872994,4.5,5.0,3.0,4935
358,PS (Pagos Seleccionados) Ribera del Duero,78.65,4.5,5.0,3.0,4411
359,Castillo Ygay Gran Reserva Especial Tinto,400.0,4.5,4.0,3.0,3521
360,Gran Reserva 890,125.0,4.5,4.0,3.0,3443
361,Castillo Ygay Gran Reserva Especial Tinto,229.0,4.5,4.0,3.0,3148
362,Toro,40.41,4.5,5.0,3.0,3118
363,Flor de Pingus,101.94,4.5,5.0,3.0,2887
364,PS (Pagos Seleccionados) Ribera del Duero,172.5,4.5,5.0,3.0,2858
365,Clio,33.2,4.5,4.0,3.0,2712
366,Flor de Pingus,125.0,4.5,5.0,3.0,2710
367,Flor de Pingus,125.0,4.5,5.0,3.0,2551
368,Flor de Pingus,125.0,4.5,5.0,3.0,2530
369,Clio,31.75,4.5,4.0,3.0,2228
370,Clio,39.5,4.5,4.0,3.0,2220
371,PS (Pagos Seleccionados) Ribera del Duero,64.0,4.5,5.0,3.0,2207
372,Tinto,33.8,4.5,5.0,3.0,2144
373,Macan,58.95,4.5,4.0,3.0,1910
374,Tinto,33.25,4.5,5.0,3.0,1864
375,Clio,61.8491765262698,4.5,4.0,3.0,1520
376,Garnacha,44.27,4.5,5.0,3.0,1503
377,Parcela El Nogal Tinto,45.9,4.5,5.0,3.0,1393
378,Valbuena 5o,239.2,4.5,5.0,3.0,1346
379,Macan,68.9,4.5,4.0,3.0,1345
380,Ribera del Duero,164.0,4.5,5.0,3.0,1236
381,Belondrade y Lurton,32.85,4.5,3.0,3.0,1192
382,Parcela El Nogal Tinto,40.95,4.5,5.0,3.0,1163
383,Reserva,69.5803235920536,4.5,5.0,3.0,1148
384,Flor de Pingus,110.0,4.5,5.0,3.0,1094
385,Rioja Reserva,49.75,4.5,4.0,3.0,1089
386,Prado Enea Gran Reserva,51.0,4.5,4.0,3.0,1014
387,Rioja Reserva,59.9,4.5,4.0,3.0,1012
388,Gran Reserva 890,290.7,4.5,4.0,3.0,990
389,Belondrade y Lurton,37.7,4.5,3.0,3.0,961
390,Priorat,146.95,4.5,4.0,3.0,955
391,Pedro Ximenez Tradicion 20 Years Old Vos,68.9,4.5,5.0,1.0,854
392,Torre Muga,70.5,4.5,4.0,3.0,838
393,Macan,64.0,4.5,4.0,3.0,813
394,Termanthia,168.0,4.5,5.0,3.0,729
395,Malleolus de Valderramiro,173.95,4.5,5.0,3.0,719
396,Priorat,65.0,4.5,4.0,3.0,666
397,Dalmau Rioja,67.6,4.5,4.0,3.0,642
398,Reserva,53.95,4.5,5.0,3.0,629
399,Parcela El Nogal Tinto,42.95,4.5,5.0,3.0,595
400,Gran Reserva 890,127.23,4.5,4.0,3.0,574
401,Clio,47.3,4.5,4.0,3.0,550
402,Aro,169.4,4.5,4.0,3.0,529
403,Gran Reserva,121.838963251908,4.5,4.0,3.0,529
404,San Vicente Rioja,34.8,4.5,4.0,3.0,505
405,Ribera del Duero TSM,55.35,4.5,5.0,3.0,503
406,Pago de Santa Cruz,75.95,4.5,5.0,3.0,501
407,Ribera Del Duero Reserva Premium 6 Anos,48.7,4.5,5.0,3.0,500
408,Trasnocho,118.89,4.5,4.0,3.0,499
409,Clos de L'Obac,92.8716274104906,4.5,4.0,3.0,493
410,Valbuena 5o,290.4,4.5,5.0,3.0,488
411,Reserva Ribera del Duero,31.8,4.5,5.0,3.0,477
412,Gran Reserva 890,149.5,4.5,4.0,3.0,469
413,Ribera Del Duero,35.85,4.5,5.0,3.0,462
414,Pago de Santa Cruz,82.95,4.5,5.0,3.0,420
415,Ribera Del Duero Reserva Premium 6 Anos,59.0,4.5,5.0,3.0,406
416,Bruto,37.7,4.5,5.0,3.0,384
417,Culmen Reserva Rioja,42.75,4.5,4.0,3.0,365
418,Cirsion Rioja,175.57,4.5,4.0,3.0,353
419,Priorat,61.64,4.5,4.0,3.0,336
420,Bruto,30.7,4.5,5.0,3.0,322
421,VS,56.5,4.5,4.0,2.0,318
422,Termanthia,207.11,4.5,5.0,3.0,316
423,Trasnocho,110.5,4.5,4.0,3.0,301
424,Reserva,55.95,4.5,5.0,3.0,297
425,Vina Tondonia Gran Reserva,170.0,4.5,4.0,3.0,292
426,Petit Verdot,107.9,4.5,4.0,3.0,286
427,5o Ano Ribera del Duero Tinto,69.9,4.5,5.0,3.0,264
428,El Titan del Bendito,49.5,4.5,5.0,3.0,261
429,Petit Verdot,176.98,4.5,4.0,3.0,249
430,Amancio,90.0,4.5,4.0,3.0,246
431,Clos Martinet,65.0,4.5,4.0,3.0,230
432,Trasnocho,95.0,4.5,4.0,3.0,229
433,Tinto,39.0,4.5,5.0,3.0,229
434,Ribera del Duero,193.0,4.5,5.0,3.0,226
435,Aro,174.91,4.5,4.0,3.0,222
436,Valbuena 5o,312.0,4.5,5.0,3.0,221
437,Tinto,52.9,4.5,5.0,3.0,218
438,Pago de Santa Cruz,40.9,4.5,5.0,3.0,217
439,Tinto,157.95,4.5,4.0,3.0,214
440,Millenium Gran Reserva,77.5,4.5,5.0,3.0,213
441,Regina Vides Ribera del Duero,116.0,4.5,5.0,3.0,213
442,Finca Dofi,75.0,4.5,4.0,3.0,207
443,Gran Reserva Ribera del Duero,80.98,4.5,5.0,3.0,205
444,Vina del Olivo,64.5,4.5,4.0,3.0,203
445,Flor de Pingus,118.5,4.5,5.0,3.0,201
446,Seleccio Especial Vinyes Velles,64.0,4.5,4.0,3.0,197
447,Priorat,95.0,4.5,4.0,3.0,196
448,Calvario Rioja,125.97,4.5,4.0,3.0,194
449,Ribera del Duero Una Cepa I,26.5,4.5,5.0,3.0,194
450,Ribera del Duero Prestigio,54.01,4.5,5.0,3.0,190
451,Regina Vides Ribera del Duero,104.9,4.5,5.0,3.0,189
452,Grans Muralles,170.5,4.5,4.0,3.0,189
453,Pesus Ribera del Duero,315.0,4.5,5.0,3.0,189
454,Gran Vino Albarino,34.9,4.5,3.0,3.0,188
455,Reserva Especial Ribera del Duero,51.5,4.5,5.0,3.0,187
456,Cuatro Palmas Amontillado,112.26,4.5,4.0,3.0,186
